trackID,genre,genre_le
8424,metal,4
7923,folk,2
2314,folk,2
810,jazz and blues,3
439,folk,2
821,soul and reggae,7
1943,classic pop and rock,0
6667,classic pop and rock,0
5893,classic pop and rock,0
6414,soul and reggae,7
4497,classic pop and rock,0
7028,punk,6
4297,dance and electronica,1
4059,classic pop and rock,0
5335,classic pop and rock,0
3494,punk,6
960,pop,5
8111,soul and reggae,7
7985,folk,2
5049,classic pop and rock,0
7027,classic pop and rock,0
4171,pop,5
2155,soul and reggae,7
4493,classic pop and rock,0
7560,soul and reggae,7
7083,classic pop and rock,0
3699,folk,2
4102,metal,4
6597,punk,6
3359,classic pop and rock,0
931,punk,6
4768,folk,2
6645,metal,4
6232,soul and reggae,7
431,classic pop and rock,0
3996,classic pop and rock,0
4678,punk,6
2640,folk,2
239,metal,4
4882,folk,2
1658,punk,6
3967,classic pop and rock,0
6649,classic pop and rock,0
6160,folk,2
7819,metal,4
8108,dance and electronica,1
4159,classic pop and rock,0
2012,soul and reggae,7
5931,soul and reggae,7
1619,folk,2
7389,pop,5
5073,soul and reggae,7
1910,pop,5
7834,punk,6
3236,classic pop and rock,0
1657,metal,4
752,metal,4
7936,classic pop and rock,0
2134,metal,4
1172,classic pop and rock,0
5774,classic pop and rock,0
7591,pop,5
3020,metal,4
8245,metal,4
5946,punk,6
6939,classic pop and rock,0
2675,classic pop and rock,0
8045,metal,4
4454,classic pop and rock,0
2570,pop,5
1662,classic pop and rock,0
6879,punk,6
8402,folk,2
6060,punk,6
784,folk,2
408,folk,2
6573,dance and electronica,1
6336,punk,6
7779,folk,2
7545,folk,2
8183,dance and electronica,1
7910,jazz and blues,3
1089,folk,2
6808,folk,2
4953,classic pop and rock,0
2404,folk,2
5460,metal,4
521,folk,2
3241,pop,5
8444,folk,2
1242,classic pop and rock,0
2620,dance and electronica,1
1438,dance and electronica,1
5173,classic pop and rock,0
4303,soul and reggae,7
1032,classic pop and rock,0
2543,folk,2
2391,metal,4
8174,classic pop and rock,0
109,folk,2
1163,folk,2
1050,dance and electronica,1
7310,folk,2
20,punk,6
7100,soul and reggae,7
5120,punk,6
5516,folk,2
4801,metal,4
7704,soul and reggae,7
1568,metal,4
2693,punk,6
7065,soul and reggae,7
4980,soul and reggae,7
1334,pop,5
174,folk,2
6169,metal,4
586,classic pop and rock,0
4390,soul and reggae,7
5901,folk,2
5476,folk,2
1879,classic pop and rock,0
999,pop,5
5786,jazz and blues,3
7432,pop,5
4562,punk,6
7859,metal,4
3260,dance and electronica,1
3101,folk,2
57,folk,2
